alt,apps,batt_voltage,cg_accel_x,cg_accel_y,cg_accel_z,coolant_temp,epoch,fr_adc1,fr_adc2,fr_adc3,fr_adc4,gear,lambda,lat,lon,map,nanos,oil_pa,rpm,timestamp,tps
234187,345,134,108,65477,2481,3030,1731130534,706,627,565,1476,0,855,30.386319,97.7244524,542,174781865,6235,5058,1731130534,176
234178,346,134,118,65477,2490,3030,1731130534,708,627,566,1469,0,859,30.3863191,97.7244524,549,274781839,6155,4819,1731130534,176
234173,346,134,108,65497,2490,3032,1731130534,709,629,565,1475,0,870,30.3863191,97.7244524,550,374781813,6160,5102,1731130534,176
234163,342,134,118,65477,2471,3032,1731130534,706,625,564,1475,0,902,30.3863191,97.7244524,546,474781787,6187,5329,1731130534,176
234148,343,134,98,65507,2510,3034,1731130534,706,625,564,1474,0,871,30.3863191,97.7244524,538,574781761,6215,5407,1731130534,177
234136,346,134,118,65359,2480,3034,1731130534,708,626,564,1476,0,863,30.3863192,97.7244524,537,674781735,6217,5394,1731130534,176
234117,342,134,127,65497,2481,3034,1731130534,706,625,564,1477,0,860,30.3863192,97.7244524,539,774781709,6211,5028,1731130534,177
234110,343,134,127,65458,2471,3034,1731130534,711,630,566,1470,0,852,30.3863192,97.7244524,551,874781683,6192,4861,1731130534,176
234095,343,134,118,65467,2521,3035,1731130534,699,620,565,1471,0,868,30.3863193,97.7244524,551,974781657,6190,5277,1731130534,177
234079,342,134,98,65497,2460,3035,1731130535,711,630,565,1478,0,866,30.3863193,97.7244525,544,74781631,6239,5388,1731130535,176
